libelle,groupe_musculaire_libelle,groupe_musculaire_id,is_direct
Développé nuque,trapeze,1,1
Relevé d'épaule,trapeze,1,1
"Élévation latérale, bras tendus",trapeze,1,1
Tirage de barre en pronation,trapeze,1,1
"Tirage poulie, bras serrés",trapeze,1,1
Haussement d'épaules à la barre,trapeze,1,1
Tirage verticale,trapeze,1,1
Haussement d'épaules en rotation,trapeze,1,1
Haussement d'épaules,trapeze,1,1
Tirage verticale avec barre,trapeze,1,1
Fly inversé (Banc multifonction),trapeze,1,1
"Développé nuque, assis (Banc multifonction)",trapeze,1,1
Deltoïdes à la poulie basse (Banc multifonction),trapeze,1,1
"Deltoïdes, buste penché (Banc multifonction)",trapeze,1,1
Tirage deltoïde à un bras (Banc multifonction),trapeze,1,1
"Tirage avant, à la poulie (Banc multifonction)",trapeze,1,1
"Haussement d'épaules, à la poulie (Banc multifonction)",trapeze,1,1
Développé droit assis en pronation,deltoides,2,1
Développé avant,deltoides,2,1
Développé assis alterné en pronation,deltoides,2,1
Élévation latérale incliné,deltoides,2,1
Élévation latérale large,deltoides,2,1
Développé avant alterné,deltoides,2,1
Développé avant assis,deltoides,2,1
"Élévation latérale, bras tendus",deltoides,2,1
Développé avant assis alterné,deltoides,2,1
Relevé d'épaule,deltoides,2,1
"Développé avant, prise étroite",deltoides,2,1
Tirage verticale,deltoides,2,1
Développé nuque,deltoides,2,1
Développé droit en pronation,deltoides,2,1
Élévation latérale allongé,deltoides,2,1
Élévation latérale courte,deltoides,2,1
Élévation avant alterné,deltoides,2,1
Tirage avec haltère,deltoides,2,1
Élévation frontale avec haltère,deltoides,2,1
Élévation latérale à la poulie,deltoides,2,1
Fly inversé (Banc multifonction),deltoides,2,1
Tirage dorsaux à la poulie basse (Banc multifonction),deltoides,2,1
Dorsaux à la poulie basse (Banc multifonction),deltoides,2,1
"Développé nuque, assis (Banc multifonction)",deltoides,2,1
Développé avant incliné (Banc multifonction),deltoides,2,1
Deltoïdes à la poulie basse (Banc multifonction),deltoides,2,1
"Deltoïde, buste penché (Banc multifonction)",deltoides,2,1
Tirage dorsaux (Banc multifonction),deltoides,2,1
Tirage deltoïde à un bras (Banc multifonction),deltoides,2,1
"Tirage avant, à la poulie (Banc multifonction)",deltoides,2,1
Tirage de barre en pronation,deltoides,2,1
Développé couché classique,pectoraux,3,1
Développé couché avec haltères,pectoraux,3,1
"Développé couché, prise large",pectoraux,3,1
"Développé couché haltères, prise marteau",pectoraux,3,1
"Développé couché, prise serrée",pectoraux,3,1
Développé décliné à la barre,pectoraux,3,1
Développé décliné aux haltères,pectoraux,3,1
"Développé décliné haltères, prise marteau",pectoraux,3,1
Développé incliné classique,pectoraux,3,1
"Développé incliné haltère, prise marteau",pectoraux,3,1
Développé incliné avec haltères,pectoraux,3,1
"Développé incliné, prise large",pectoraux,3,1
"Développé incliné, prise serrée",pectoraux,3,1
Écarté couché,pectoraux,3,1
Écarté décliné,pectoraux,3,1
Écarté incliné,pectoraux,3,1
"Développé avant, prise étroite",pectoraux,3,1
Pull-over,pectoraux,3,1
Répulsion triceps,pectoraux,3,1
Pull-over avec barre,pectoraux,3,1
Développé droit à la machine,pectoraux,3,1
Écarté à la poulie,pectoraux,3,1
Écarté alterné à la poulie,pectoraux,3,1
Écarté à la machine,pectoraux,3,1
Répulsion à la chaise Romaine,pectoraux,3,1
Développé avant (Banc multifonction),pectoraux,3,1
"Pectoraux papillon, ou Pec fly",pectoraux,3,1
Pull-over,dorsaux,4,1
Pull-over avec barre,dorsaux,4,1
Tirage avec haltère,dorsaux,4,1
Tirage de barre en pronation,dorsaux,4,1
Traction nuque à la barre-fixe,dorsaux,4,1
Traction à la barre-fixe,dorsaux,4,1
Tirage bras tendus,dorsaux,4,1
"Tirage nuque, prise large",dorsaux,4,1
"Tirage poulie, bras serrés",dorsaux,4,1
"Tirage poitrine, prise large",dorsaux,4,1
Tirage poitrine,dorsaux,4,1
"Tirage poitrine, prise courte",dorsaux,4,1
Fly inversé (Banc multifonction),dorsaux,4,1
Tirage dorsaux à la poulie basse (Banc multifonction),dorsaux,4,1
Dorsaux à la poulie basse (Banc multifonction),dorsaux,4,1
"Développé nuque, assis (Banc multifonction)",dorsaux,4,1
Développé dorsaux assis (Banc multifonction),dorsaux,4,1
Développé avant (Banc multifonction),dorsaux,4,1
"Deltoïde, buste penché (Banc multifonction)",dorsaux,4,1
Tirage dorsaux (Banc multifonction),dorsaux,4,1
Tirage deltoïde à un bras (Banc multifonction),dorsaux,4,1
"Tirage avant, assis à la poulie (Banc multifonction)",dorsaux,4,1
"Haussement d'épaules, à la poulie (Banc multifonction)",dorsaux,4,1
"Tirage Pullover, à la poulie (Banc multifonction)",dorsaux,4,1
"Flexion assis, prise marteau alternée",avant_bras_poignets,5,1
Flexion des poignets,avant_bras_poignets,5,1
Flexion des poignet en supination,avant_bras_poignets,5,1
Flexion biceps Assis avec haltère,avant_bras_poignets,5,1
"Flexion biceps assis, prise marteau",avant_bras_poignets,5,1
Flexion biceps en pronation,avant_bras_poignets,5,1
"Flexion debout, prise marteau alternée",avant_bras_poignets,5,1
"Flexion debout, prise marteau",avant_bras_poignets,5,1
Traction nuque à la barre-fixe,avant_bras_poignets,5,1
Biceps à la poulie haute (Banc multifonction),avant_bras_poignets,5,1
Flexion biceps assis,biceps,6,1
Tirage avec haltère,biceps,6,1
Flexion biceps Assis alterné,biceps,6,1
Flexion biceps Assis avec haltère,biceps,6,1
"Flexion biceps assis, prise marteau",biceps,6,1
Flexion biceps en pronation,biceps,6,1
Flexion biceps debout,biceps,6,1
"Flexion debout, prise marteau alternée",biceps,6,1
Flexion biceps debout alterné,biceps,6,1
"Flexion assis, prise marteau alternée",biceps,6,1
"Flexion debout, prise marteau",biceps,6,1
"Tirage nuque, prise large",biceps,6,1
Traction à la barre-fixe,biceps,6,1
"Flexion biceps, bras écartés",biceps,6,1
Traction nuque à la barre-fixe,biceps,6,1
"Flexion biceps, bras serrés",biceps,6,1
Flexion biceps à la machine,biceps,6,1
"Flexion biceps, debout (Banc multifonction)",biceps,6,1
Biceps à la poulie haute (Banc multifonction),biceps,6,1
Tirage dorsaux (Banc multifonction),biceps,6,1
Tirage biceps à la poulie (Banc multifonction),biceps,6,1
Développé couché classique,triceps,7,1
Développé couché avec haltères,triceps,7,1
"Développé couché, prise large",triceps,7,1
"Développé couché haltères, prise marteau",triceps,7,1
"Développé couché, prise serrée",triceps,7,1
Développé décliné à la barre,triceps,7,1
Développé décliné aux haltères,triceps,7,1
"Développé décliné haltères, prise marteau",triceps,7,1
Développé incliné classique,triceps,7,1
"Développé incliné haltère, prise marteau",triceps,7,1
Développé incliné avec haltères,triceps,7,1
"Développé incliné, prise large",triceps,7,1
